[INFO] 2025-11-14 09:54:51,588 valutatrade.actions: timestamp=2025-11-14T06:54:51 action=LOGIN result=OK
[INFO] 2025-11-14 09:55:07,805 valutatrade.actions: timestamp=2025-11-14T06:55:07 action=BUY rate=59337.21 base_currency=USD result=OK wallet=0.12100000000000001->0.12200000000000001 base=2128.77909->2069.44188
[INFO] 2025-11-14 09:55:35,101 valutatrade.actions: timestamp=2025-11-14T06:55:35 action=SELL rate=59337.21 base_currency=USD result=OK wallet=0.12200000000000001->0.12100000000000001 base=2069.44188->2128.77909
[INFO] 2025-11-14 09:59:34,453 valutatrade.actions: timestamp=2025-11-14T06:59:34 action=LOGIN user_id=2 username=dima result=OK
[INFO] 2025-11-14 09:59:49,994 valutatrade.actions: timestamp=2025-11-14T06:59:49 action=BUY user_id=2 currency_code=BTC amount=0.001 rate=59337.21 base_currency=USD result=OK wallet=0.12100000000000001->0.12200000000000001 base=2128.77909->2069.44188
[INFO] 2025-11-14 09:59:55,001 valutatrade.actions: timestamp=2025-11-14T06:59:54 action=SELL user_id=2 currency_code=BTC amount=0.001 rate=59337.21 base_currency=USD result=OK wallet=0.12200000000000001->0.12100000000000001 base=2069.44188->2128.77909
[INFO] 2025-11-14 14:35:49,395 valutatrade.actions: timestamp=2025-11-14T11:35:49 action=LOGIN user_id=2 username=dima result=OK
[INFO] 2025-11-24 20:17:35,192 valutatrade.actions.parser: Начато обновление курсов
[INFO] 2025-11-24 20:17:35,195 valutatrade.actions.parser: Запрос к CoinGecko
[INFO] 2025-11-24 20:17:35,537 valutatrade.actions.parser: Получено 3 курсов от CoinGecko
[INFO] 2025-11-24 20:17:35,537 valutatrade.actions.parser: Запрос к ExchangeRate-API
[ERROR] 2025-11-24 20:17:35,812 valutatrade.actions.parser: Ошибка при обращении к ExchangeRate-API: Ошибка при обращении к внешнему API: ExchangeRate-API вернул статус 403
[INFO] 2025-11-24 20:19:11,140 valutatrade.actions.parser: Начато обновление курсов
[INFO] 2025-11-24 20:19:11,143 valutatrade.actions.parser: Запрос к CoinGecko
[INFO] 2025-11-24 20:19:11,549 valutatrade.actions.parser: Получено 3 курсов от CoinGecko
[INFO] 2025-11-24 20:19:11,550 valutatrade.actions.parser: Запрос к ExchangeRate-API
[ERROR] 2025-11-24 20:19:11,841 valutatrade.actions.parser: Ошибка при обращении к ExchangeRate-API: Ошибка при обращении к внешнему API: ExchangeRate-API вернул статус 403
[INFO] 2025-11-24 20:19:11,859 valutatrade.actions.parser: Обновление завершено. Успешно обновлено 3 пар.
[WARNING] 2025-11-24 20:19:11,860 valutatrade.actions.parser: Источник ExchangeRate-API завершился с ошибкой: Ошибка при обращении к внешнему API: ExchangeRate-API вернул статус 403
[INFO] 2025-11-24 20:20:56,648 valutatrade.actions.parser: Начато обновление курсов
[INFO] 2025-11-24 20:20:56,649 valutatrade.actions.parser: Запрос к CoinGecko
[INFO] 2025-11-24 20:20:56,985 valutatrade.actions.parser: Получено 3 курсов от CoinGecko
[INFO] 2025-11-24 20:20:56,986 valutatrade.actions.parser: Запрос к ExchangeRate-API
[INFO] 2025-11-24 20:20:57,212 valutatrade.actions.parser: Получено 0 курсов от ExchangeRate-API
